"";"produit";"date";"réactif";"automate";"b0";"b0-";"b0+";"sigmab0";"b1";"b1-";"b1+";"sigmab1";"sigma";"LOB";"LOQ"
"1";"Arga";"20200512";"1500157";"3707";"30.85824";"29.31179";"32.40468";"0.65712";"19.90715";"18.70407";"21.11023";"0.51122";"0.83447";"0.12556";"0.33049"
"2";"Arga";"20210403";"1701040";"3707";"30.98746";"28.98647";"32.98846";"0.85027";"21.18387";"19.62716";"22.74058";"0.66148";"1.07975";"0.15268";"0.39686"
"3";"Arga";"20210423";"01655";"3707";"31.01573";"28.74001";"33.29145";"0.96701";"24.68086";"22.90817";"26.45356";"0.75326";"1.23926";"0.14988";"0.39061"
"4";"Arga";"20211003";"FA1601";"3707";"31.36654";"30.5411";"32.19198";"0.35075";"22.37021";"21.72722";"23.0132";"0.27322";"0.4495";"0.05998";"0.1636"
"5";"Arga";"20211020";"61AP6U";"3707";"31.76366";"30.2271";"33.30023";"0.65292";"23.22846";"22.03153";"24.42538";"0.5086";"0.83675";"0.10753";"0.28586"
"6";"Arga";"20230111";"64AP7X ";"3707";"30.5933";"28.55471";"32.63189";"0.86625";"22.77675";"21.17628";"24.37723";"0.68008";"1.0876";"0.14366";"0.37406"
"7";"Arga";"20230111";"64AP7X ";"3708";"30.42398";"28.31236";"32.5356";"0.89728";"22.89945";"21.24164";"24.55726";"0.70444";"1.12656";"0.14801";"0.38461"
"8";"Arga";"20230322";"22AP9Q";"3707";"29.27973";"27.28569";"31.27377";"0.84731";"27.09703";"25.53154";"28.66253";"0.66522";"1.06383";"0.11812";"0.31141"
"9";"Arga";"20230322";"22AP9Q";"3708";"29.57738";"27.30699";"31.84777";"0.96474";"26.20742";"24.42496";"27.98987";"0.75741";"1.21126";"0.13905";"0.36285"
"10";"Arga";"20240212";"22AP9Q";"3707";"29.59048";"27.15346";"32.0275";"1.03555";"29.56901";"27.36507";"31.77294";"0.9365";"1.3275";"0.134";"0.34837"
"11";"Arga";"20240212";"22AP9Q";"3708";"29.03";"27.32309";"30.73691";"0.72531";"29.70199";"28.15833";"31.24565";"0.65594";"0.92979";"0.09343";"0.24828"
